num_recreated_workers,episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,info/last_target_update_ts,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/training_iteration_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,counters/last_target_update_ts,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,sampler_results/sampler_perf/mean_raw_obs_processing_ms,sampler_results/sampler_perf/mean_inference_ms,sampler_results/sampler_perf/mean_action_processing_ms,sampler_results/sampler_perf/mean_env_wait_ms,sampler_results/sampler_perf/mean_env_render_ms,info/learner/default_policy/td_error,info/learner/default_policy/train,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/mean_q,info/learner/default_policy/learner_stats/min_q,info/learner/default_policy/learner_stats/max_q,info/learner/default_policy/learner_stats/mean_td_error
0,3.0,0.0,1.6,765.8,5,0,0,1000,32,1000,32,1000,32,1000,32,1000,False,5,1,f3bb2_00000,462ac9fd8804415d8e17cdef0f512d7a,2022-10-12_02-37-17,1665535037,8.251186609268188,8.251186609268188,228466,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,8.251186609268188,0,1,18.279884338378906,1000,32,1000,32,0,3.0,0.0,1.6,765.8,5,0,"[0.0, 1.0, 3.0, 2.0, 2.0]","[525, 645, 1009, 806, 844]",0.6613764729533163,4.140770995057189,0.06169967956238098,2.230551097538326,0.0,90.364,50.074,639.053,664.215,48.177,0.051,1000,32,1000,32,0,3.85,3.4583333333333335,"[0.0, 1.0, 3.0, 2.0, 2.0]","[525, 645, 1009, 806, 844]",0.6613764729533163,4.140770995057189,0.06169967956238098,2.230551097538326,0.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]",,6.25000029685907e-05,0.0,0.0,0.0,0.0
0,5.0,0.0,2.111111111111111,864.4444444444445,4,0,0,2000,8032,2000,8032,1000,8000,2000,8000,2000,False,9,2,f3bb2_00000,462ac9fd8804415d8e17cdef0f512d7a,2022-10-12_02-39-50,1665535190,13.043041944503784,21.294228553771973,228466,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,21.294228553771973,0,2,18.279884338378906,2000,8032,2000,8032,0,5.0,0.0,2.111111111111111,864.4444444444445,4,0,"[0.0, 1.0, 3.0, 2.0, 2.0, 2.0, 1.0, 5.0, 3.0]","[525, 645, 1009, 806, 844, 894, 725, 1407, 925]",0.6466541760801445,4.121350632260655,0.06441712907601324,2.2423965178448295,0.0,51.13,2.165,14783.316,9.931,3222.391,0.026,2000,8032,2000,8032,0,4.128110599078341,4.5032258064516135,"[0.0, 1.0, 3.0, 2.0, 2.0, 2.0, 1.0, 5.0, 3.0]","[525, 645, 1009, 806, 844, 894, 725, 1407, 925]",0.6466541760801445,4.121350632260655,0.06441712907601324,2.2423965178448295,0.0,"[ 0.01185011  0.01318555 -0.9866375   0.0133625   0.01185011  0.0076711
  0.0133625   0.0133625   0.01318555  0.0133625   0.0133625   0.0133625
 -0.9881499  -0.9881499   0.0076711  -0.98681444 -0.9923289   0.01318555
  0.01185011  0.0076711   0.0076711  -0.9881499  -0.9881499   0.01318555
  0.01185011  0.01185011  0.01185011 -0.98681444  0.0133625   0.01318555
  0.01185011 -0.98681444]",,6.25000029685907e-05,0.011909099,0.0076710973,0.013362499,-0.2693409
0,5.0,0.0,1.8666666666666667,825.4,6,0,0,3000,16032,3000,16032,1000,8000,3000,8000,3000,False,15,3,f3bb2_00000,462ac9fd8804415d8e17cdef0f512d7a,2022-10-12_02-40-03,1665535203,13.131215333938599,34.42544388771057,228466,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,34.42544388771057,0,3,18.279884338378906,3000,16032,3000,16032,0,5.0,0.0,1.8666666666666667,825.4,6,0,"[0.0, 1.0, 3.0, 2.0, 2.0, 2.0, 1.0, 5.0, 3.0, 3.0, 1.0, 0.0, 4.0, 1.0, 0.0]","[525, 645, 1009, 806, 844, 894, 725, 1407, 925, 993, 629, 518, 1229, 707, 525]",0.6411105395354727,4.116601152254278,0.06656134703658739,2.248373448511028,0.0,50.893,2.094,15281.71,9.646,3317.508,0.027,3000,16032,3000,16032,0,17.97368421052631,5.747368421052631,"[0.0, 1.0, 3.0, 2.0, 2.0, 2.0, 1.0, 5.0, 3.0, 3.0, 1.0, 0.0, 4.0, 1.0, 0.0]","[525, 645, 1009, 806, 844, 894, 725, 1407, 925, 993, 629, 518, 1229, 707, 525]",0.6411105395354727,4.116601152254278,0.06656134703658739,2.248373448511028,0.0,"[ 0.02160526  0.01111038  0.02160526  0.02075763  0.02160526  0.02160526
  0.02029032  0.02160526  0.01111038  0.02160526  0.02075763  0.02160526
  0.02075763 -0.9797097   0.02075763 -0.9792424   0.02029032  0.01111038
  0.02075763 -0.9797097   0.02160526  0.02075763 -0.9797097   0.02029032
  0.02029032  0.02029032  0.02160526  0.01111038 -0.9797097   0.02029032
  0.02160526 -0.98888963]",,6.25000029685907e-05,0.0193691,0.011110377,0.02160526,-0.1681309
0,9.0,0.0,2.25,864.95,5,0,0,4000,24032,4000,24032,1000,8000,4000,8000,4000,False,20,4,f3bb2_00000,462ac9fd8804415d8e17cdef0f512d7a,2022-10-12_02-40-16,1665535216,13.00436019897461,47.42980408668518,228466,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,47.42980408668518,0,4,18.279884338378906,4000,24032,4000,24032,0,9.0,0.0,2.25,864.95,5,0,"[0.0, 1.0, 3.0, 2.0, 2.0, 2.0, 1.0, 5.0, 3.0, 3.0, 1.0, 0.0, 4.0, 1.0, 0.0, 2.0, 3.0, 9.0, 2.0, 1.0]","[525, 645, 1009, 806, 844, 894, 725, 1407, 925, 993, 629, 518, 1229, 707, 525, 910, 1017, 1536, 819, 636]",0.6374410473756738,4.111310446832851,0.06757532208038734,2.2504788234669606,0.0,50.337,2.123,15072.515,10.376,3084.125,0.027,4000,24032,4000,24032,0,17.989473684210527,5.889473684210526,"[0.0, 1.0, 3.0, 2.0, 2.0, 2.0, 1.0, 5.0, 3.0, 3.0, 1.0, 0.0, 4.0, 1.0, 0.0, 2.0, 3.0, 9.0, 2.0, 1.0]","[525, 645, 1009, 806, 844, 894, 725, 1407, 925, 993, 629, 518, 1229, 707, 525, 910, 1017, 1536, 819, 636]",0.6374410473756738,4.111310446832851,0.06757532208038734,2.2504788234669606,0.0,"[-0.9741307   0.02586929  0.01376249  0.02586929  0.02586929  0.02878387
  0.02584272  0.02584272  0.02584272  0.02586929  0.02878387  0.01376249
  0.02584272  0.01376249  0.01376249  0.02584272  0.02586929  0.02878387
  0.02586929  0.02586929  0.01376249  0.02584272  0.02878387  0.02878387
  0.02584272  0.02878387  0.02878387 -0.9741573  -0.97121614  0.02878387
  0.02586929  0.02586929]",,6.25000029685907e-05,0.024790684,0.013762486,0.028783865,-0.06895931
0,9.0,0.0,2.12,850.04,5,0,0,5000,32032,5000,32032,1000,8000,5000,8000,5000,False,25,5,f3bb2_00000,462ac9fd8804415d8e17cdef0f512d7a,2022-10-12_02-40-29,1665535229,12.962668657302856,60.39247274398804,228466,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,60.39247274398804,0,5,18.279884338378906,5000,32032,5000,32032,0,9.0,0.0,2.12,850.04,5,0,"[0.0, 1.0, 3.0, 2.0, 2.0, 2.0, 1.0, 5.0, 3.0, 3.0, 1.0, 0.0, 4.0, 1.0, 0.0, 2.0, 3.0, 9.0, 2.0, 1.0, 1.0, 2.0, 1.0, 4.0, 0.0]","[525, 645, 1009, 806, 844, 894, 725, 1407, 925, 993, 629, 518, 1229, 707, 525, 910, 1017, 1536, 819, 636, 693, 832, 701, 1201, 525]",0.6359746916352608,4.10306350624927,0.06833561418663332,2.252055371939719,0.0,49.852,2.193,14589.518,8.637,3705.093,0.026,5000,32032,5000,32032,0,18.05,6.038888888888888,"[0.0, 1.0, 3.0, 2.0, 2.0, 2.0, 1.0, 5.0, 3.0, 3.0, 1.0, 0.0, 4.0, 1.0, 0.0, 2.0, 3.0, 9.0, 2.0, 1.0, 1.0, 2.0, 1.0, 4.0, 0.0]","[525, 645, 1009, 806, 844, 894, 725, 1407, 925, 993, 629, 518, 1229, 707, 525, 910, 1017, 1536, 819, 636, 693, 832, 701, 1201, 525]",0.6359746916352608,4.10306350624927,0.06833561418663332,2.252055371939719,0.0,"[ 0.01757932  0.03420308  0.03420308  0.0279361  -0.97067344  0.03420308
  0.0279361  -0.97067344  0.03420308 -0.9824207   0.0279361   0.0279361
  0.03420308  0.01757932  0.03420308  0.01757932  0.03420308  0.01757932
  0.02932656  0.03420308  0.02932656  0.0279361   0.02932656  0.0279361
  0.03420308  0.03420308  0.0279361  -0.96579695  0.02932656  0.0279361
  0.0279361   0.03420308]",,6.25000029685907e-05,0.028928682,0.01757932,0.03420308,-0.096071325
0,9.0,0.0,2.2413793103448274,871.9655172413793,4,0,0,6000,40032,6000,40032,1000,8000,6000,8000,6000,False,29,6,f3bb2_00000,462ac9fd8804415d8e17cdef0f512d7a,2022-10-12_02-40-42,1665535242,13.054996728897095,73.44746947288513,228466,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,73.44746947288513,0,6,18.279884338378906,6000,40032,6000,40032,0,9.0,0.0,2.2413793103448274,871.9655172413793,4,0,"[0.0, 1.0, 3.0, 2.0, 2.0, 2.0, 1.0, 5.0, 3.0, 3.0, 1.0, 0.0, 4.0, 1.0, 0.0, 2.0, 3.0, 9.0, 2.0, 1.0, 1.0, 2.0, 1.0, 4.0, 0.0, 0.0, 6.0, 1.0, 5.0]","[525, 645, 1009, 806, 844, 894, 725, 1407, 925, 993, 629, 518, 1229, 707, 525, 910, 1017, 1536, 819, 636, 693, 832, 701, 1201, 525, 526, 1529, 644, 1337]",0.6341361515815095,4.100135630062634,0.06882607368286678,2.25305085881956,0.0,49.19,2.022,15822.897,9.025,3545.64,0.027,6000,40032,6000,40032,0,18.0,6.1684210526315795,"[0.0, 1.0, 3.0, 2.0, 2.0, 2.0, 1.0, 5.0, 3.0, 3.0, 1.0, 0.0, 4.0, 1.0, 0.0, 2.0, 3.0, 9.0, 2.0, 1.0, 1.0, 2.0, 1.0, 4.0, 0.0, 0.0, 6.0, 1.0, 5.0]","[525, 645, 1009, 806, 844, 894, 725, 1407, 925, 993, 629, 518, 1229, 707, 525, 910, 1017, 1536, 819, 636, 693, 832, 701, 1201, 525, 526, 1529, 644, 1337]",0.6341361515815095,4.100135630062634,0.06882607368286678,2.25305085881956,0.0,"[ 0.02873479  0.02873479  0.0312939   0.03755125  0.0312939   0.02873479
 -0.96870613  0.0312939   0.0312939   0.02873479  0.0312939   0.02873479
  0.021023    0.02873479  0.03755125  0.02873479 -0.9624487   0.0312939
 -0.978977    0.02873479  0.03755125  0.03755125  0.03755125  0.02873479
  0.02873479  0.03755125  0.02873479  0.0312939   0.0312939  -0.9712652
 -0.9624487   0.02873479]",,6.25000029685907e-05,0.031176668,0.021023003,0.037551254,-0.12507333
0,9.0,0.0,2.1142857142857143,857.7428571428571,6,0,0,7000,48032,7000,48032,1000,8000,7000,8000,7000,False,35,7,f3bb2_00000,462ac9fd8804415d8e17cdef0f512d7a,2022-10-12_02-40-55,1665535255,13.133928537368774,86.5813980102539,228466,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,86.5813980102539,0,7,18.279884338378906,7000,48032,7000,48032,0,9.0,0.0,2.1142857142857143,857.7428571428571,6,0,"[0.0, 1.0, 3.0, 2.0, 2.0, 2.0, 1.0, 5.0, 3.0, 3.0, 1.0, 0.0, 4.0, 1.0, 0.0, 2.0, 3.0, 9.0, 2.0, 1.0, 1.0, 2.0, 1.0, 4.0, 0.0, 0.0, 6.0, 1.0, 5.0, 2.0, 1.0, 3.0, 3.0, 0.0, 0.0]","[525, 645, 1009, 806, 844, 894, 725, 1407, 925, 993, 629, 518, 1229, 707, 525, 910, 1017, 1536, 819, 636, 693, 832, 701, 1201, 525, 526, 1529, 644, 1337, 815, 637, 1099, 1127, 524, 532]",0.632287719890174,4.097438005802886,0.06945763303868727,2.2548079322671226,0.0,48.695,2.525,12672.929,9.317,3434.76,0.028,7000,48032,7000,48032,0,18.031578947368423,6.331578947368421,"[0.0, 1.0, 3.0, 2.0, 2.0, 2.0, 1.0, 5.0, 3.0, 3.0, 1.0, 0.0, 4.0, 1.0, 0.0, 2.0, 3.0, 9.0, 2.0, 1.0, 1.0, 2.0, 1.0, 4.0, 0.0, 0.0, 6.0, 1.0, 5.0, 2.0, 1.0, 3.0, 3.0, 0.0, 0.0]","[525, 645, 1009, 806, 844, 894, 725, 1407, 925, 993, 629, 518, 1229, 707, 525, 910, 1017, 1536, 819, 636, 693, 832, 701, 1201, 525, 526, 1529, 644, 1337, 815, 637, 1099, 1127, 524, 532]",0.632287719890174,4.097438005802886,0.06945763303868727,2.2548079322671226,0.0,"[ 0.03064897  0.03943626  0.03064897  0.02397152  0.02397152  0.03943626
  0.03190035 -0.96809965  0.03064897 -0.9605637   0.03190035  0.03190035
  0.03064897  0.03064897  0.02397152  0.03943626  0.03064897  0.03943626
  0.03064897  0.02397152  0.03943626  0.03190035  0.02397152  0.03943626
 -0.9605637   0.03190035 -0.96935105  0.03064897  0.03943626  0.02397152
  0.03064897  0.03943626]",,6.25000029685907e-05,0.032377608,0.02397152,0.03943626,-0.092622384
0,9.0,0.0,2.025,842.2,5,0,0,8000,56032,8000,56032,1000,8000,8000,8000,8000,False,40,8,f3bb2_00000,462ac9fd8804415d8e17cdef0f512d7a,2022-10-12_02-41-08,1665535268,13.110783100128174,99.69218111038208,228466,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,99.69218111038208,0,8,18.279884338378906,8000,56032,8000,56032,8000,9.0,0.0,2.025,842.2,5,0,"[0.0, 1.0, 3.0, 2.0, 2.0, 2.0, 1.0, 5.0, 3.0, 3.0, 1.0, 0.0, 4.0, 1.0, 0.0, 2.0, 3.0, 9.0, 2.0, 1.0, 1.0, 2.0, 1.0, 4.0, 0.0, 0.0, 6.0, 1.0, 5.0, 2.0, 1.0, 3.0, 3.0, 0.0, 0.0, 3.0, 0.0, 4.0, 0.0, 0.0]","[525, 645, 1009, 806, 844, 894, 725, 1407, 925, 993, 629, 518, 1229, 707, 525, 910, 1017, 1536, 819, 636, 693, 832, 701, 1201, 525, 526, 1529, 644, 1337, 815, 637, 1099, 1127, 524, 532, 1013, 532, 1042, 544, 536]",0.6313483961745734,4.094587874835017,0.06983463464766801,2.2554980760325223,0.0,59.773,2.16,14817.426,9.373,3413.941,0.029,8000,56032,8000,56032,8000,18.022222222222226,6.455555555555556,"[0.0, 1.0, 3.0, 2.0, 2.0, 2.0, 1.0, 5.0, 3.0, 3.0, 1.0, 0.0, 4.0, 1.0, 0.0, 2.0, 3.0, 9.0, 2.0, 1.0, 1.0, 2.0, 1.0, 4.0, 0.0, 0.0, 6.0, 1.0, 5.0, 2.0, 1.0, 3.0, 3.0, 0.0, 0.0, 3.0, 0.0, 4.0, 0.0, 0.0]","[525, 645, 1009, 806, 844, 894, 725, 1407, 925, 993, 629, 518, 1229, 707, 525, 910, 1017, 1536, 819, 636, 693, 832, 701, 1201, 525, 526, 1529, 644, 1337, 815, 637, 1099, 1127, 524, 532, 1013, 532, 1042, 544, 536]",0.6313483961745734,4.094587874835017,0.06983463464766801,2.2554980760325223,0.0,"[-0.9596764   0.03198374  0.04032362  0.02613371  0.04032362  0.04032362
  0.04032362  0.04032362  0.03060442  0.03060442  0.03060442  0.03198374
  0.03060442  0.03198374 -0.9693956   0.03198374  0.02613371  0.04032362
  0.04032362  0.03060442  0.04032362 -0.9693956   0.04032362  0.02613371
  0.02613371  0.02613371  0.03198374  0.04032362  0.04032362  0.03198374
  0.03060442  0.04032362]",,6.25000029685907e-05,0.034112923,0.02613371,0.04032362,-0.05963708
0,10.0,0.0,2.0869565217391304,847.7608695652174,6,0,0,9000,64032,9000,64032,1000,8000,9000,8000,9000,False,46,9,f3bb2_00000,462ac9fd8804415d8e17cdef0f512d7a,2022-10-12_02-41-21,1665535281,13.066056251525879,112.75823736190796,228466,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,112.75823736190796,0,9,18.279884338378906,9000,64032,9000,64032,8000,10.0,0.0,2.0869565217391304,847.7608695652174,6,0,"[0.0, 1.0, 3.0, 2.0, 2.0, 2.0, 1.0, 5.0, 3.0, 3.0, 1.0, 0.0, 4.0, 1.0, 0.0, 2.0, 3.0, 9.0, 2.0, 1.0, 1.0, 2.0, 1.0, 4.0, 0.0, 0.0, 6.0, 1.0, 5.0, 2.0, 1.0, 3.0, 3.0, 0.0, 0.0, 3.0, 0.0, 4.0, 0.0, 0.0, 1.0, 10.0, 3.0, 0.0, 0.0, 1.0]","[525, 645, 1009, 806, 844, 894, 725, 1407, 925, 993, 629, 518, 1229, 707, 525, 910, 1017, 1536, 819, 636, 693, 832, 701, 1201, 525, 526, 1529, 644, 1337, 815, 637, 1099, 1127, 524, 532, 1013, 532, 1042, 544, 536, 705, 1895, 1044, 504, 525, 636]",0.630584477361867,4.094046294085421,0.07022064639542865,2.256439021137439,0.0,49.873,2.257,14177.879,10.047,3184.907,0.028,9000,64032,9000,64032,8000,18.031578947368423,6.610526315789474,"[0.0, 1.0, 3.0, 2.0, 2.0, 2.0, 1.0, 5.0, 3.0, 3.0, 1.0, 0.0, 4.0, 1.0, 0.0, 2.0, 3.0, 9.0, 2.0, 1.0, 1.0, 2.0, 1.0, 4.0, 0.0, 0.0, 6.0, 1.0, 5.0, 2.0, 1.0, 3.0, 3.0, 0.0, 0.0, 3.0, 0.0, 4.0, 0.0, 0.0, 1.0, 10.0, 3.0, 0.0, 0.0, 1.0]","[525, 645, 1009, 806, 844, 894, 725, 1407, 925, 993, 629, 518, 1229, 707, 525, 910, 1017, 1536, 819, 636, 693, 832, 701, 1201, 525, 526, 1529, 644, 1337, 815, 637, 1099, 1127, 524, 532, 1013, 532, 1042, 544, 536, 705, 1895, 1044, 504, 525, 636]",0.630584477361867,4.094046294085421,0.07022064639542865,2.256439021137439,0.0,"[-4.2252243e-05  2.1306016e-03  4.4387691e-03  1.4362119e-02
 -4.2252243e-05 -1.0000423e+00  1.4362119e-02 -4.2252243e-05
  1.4362119e-02  4.4387691e-03  1.4362119e-02 -4.2252243e-05
 -1.0000423e+00 -1.0000423e+00 -9.8563790e-01 -1.0000423e+00
 -1.0000423e+00  2.1306016e-03 -4.2252243e-05  1.4362119e-02
  3.9881282e-02 -1.0000423e+00  2.1306016e-03  2.1306016e-03
  1.4362119e-02 -9.8563790e-01 -9.9556124e-01  1.4362119e-02
 -9.8563790e-01 -4.2252243e-05  3.9881282e-02  2.1306016e-03]",,6.25000029685907e-05,0.045142256,0.03988128,0.054285653,-0.3047861
0,10.0,0.0,1.9807692307692308,833.6923076923077,6,0,0,10000,72032,10000,72032,1000,8000,10000,8000,10000,False,52,10,f3bb2_00000,462ac9fd8804415d8e17cdef0f512d7a,2022-10-12_02-41-35,1665535295,13.304238080978394,126.06247544288635,228466,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,126.06247544288635,0,10,18.279884338378906,10000,72032,10000,72032,8000,10.0,0.0,1.9807692307692308,833.6923076923077,6,0,"[0.0, 1.0, 3.0, 2.0, 2.0, 2.0, 1.0, 5.0, 3.0, 3.0, 1.0, 0.0, 4.0, 1.0, 0.0, 2.0, 3.0, 9.0, 2.0, 1.0, 1.0, 2.0, 1.0, 4.0, 0.0, 0.0, 6.0, 1.0, 5.0, 2.0, 1.0, 3.0, 3.0, 0.0, 0.0, 3.0, 0.0, 4.0, 0.0, 0.0, 1.0, 10.0, 3.0, 0.0, 0.0, 1.0, 0.0, 4.0, 3.0, 0.0, 0.0, 0.0]","[525, 645, 1009, 806, 844, 894, 725, 1407, 925, 993, 629, 518, 1229, 707, 525, 910, 1017, 1536, 819, 636, 693, 832, 701, 1201, 525, 526, 1529, 644, 1337, 815, 637, 1099, 1127, 524, 532, 1013, 532, 1042, 544, 536, 705, 1895, 1044, 504, 525, 636, 525, 1201, 1090, 513, 526, 500]",0.6301799504068343,4.091714628078328,0.07055936614853255,2.257604591759006,0.0,49.847,1.978,16179.583,9.264,3454.305,0.028,10000,72032,10000,72032,8000,18.131578947368418,6.752631578947369,"[0.0, 1.0, 3.0, 2.0, 2.0, 2.0, 1.0, 5.0, 3.0, 3.0, 1.0, 0.0, 4.0, 1.0, 0.0, 2.0, 3.0, 9.0, 2.0, 1.0, 1.0, 2.0, 1.0, 4.0, 0.0, 0.0, 6.0, 1.0, 5.0, 2.0, 1.0, 3.0, 3.0, 0.0, 0.0, 3.0, 0.0, 4.0, 0.0, 0.0, 1.0, 10.0, 3.0, 0.0, 0.0, 1.0, 0.0, 4.0, 3.0, 0.0, 0.0, 0.0]","[525, 645, 1009, 806, 844, 894, 725, 1407, 925, 993, 629, 518, 1229, 707, 525, 910, 1017, 1536, 819, 636, 693, 832, 701, 1201, 525, 526, 1529, 644, 1337, 815, 637, 1099, 1127, 524, 532, 1013, 532, 1042, 544, 536, 705, 1895, 1044, 504, 525, 636, 525, 1201, 1090, 513, 526, 500]",0.6301799504068343,4.091714628078328,0.07055936614853255,2.257604591759006,0.0,"[ 0.02952519  0.01499404 -0.985006   -0.97047484  0.02952519  0.02952519
  0.02952519  0.01607111  0.02952519 -0.97047484  0.01607111  0.01499404
  0.02952519 -0.9830213   0.01697868  0.02952519  0.02952519  0.01499404
  0.01499404 -0.97047484  0.01499404  0.02952519  0.02952519  0.02952519
  0.02952519 -0.9830213   0.01499404 -0.985006    0.01607111  0.02952519
  0.01607111  0.01607111]",,6.25000029685907e-05,0.062537506,0.05491757,0.069448724,-0.19613603
