num_recreated_workers,episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,info/last_target_update_ts,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,counters/last_target_update_ts,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/default_policy/td_error,info/learner/default_policy/train,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/mean_q,info/learner/default_policy/learner_stats/min_q,info/learner/default_policy/learner_stats/max_q,info/learner/default_policy/learner_stats/mean_td_error
0,nan,nan,nan,nan,0,0,0,1000,32,1000,32,1000,32,1000,32,1000,False,0,1,f3bb2_00003,2aa52d13d19d40669e21f3a3f6fea1af,2022-10-12_02-38-16,1665535096,7.925218343734741,7.925218343734741,228864,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,7.925218343734741,0,1,12.895941019058228,1000,32,1000,32,0,nan,nan,nan,nan,0,0,[],[],82.967,44.842,713.613,600.541,53.285,0.062,1000,32,1000,32,0,3.9833333333333325,4.150000000000001,[],[],"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]",,6.25000029685907e-05,0.0,0.0,0.0,0.0
0,600.0,600.0,600.0,4878.0,1,0,0,2000,8032,2000,8032,1000,8000,2000,8000,2000,False,1,2,f3bb2_00003,2aa52d13d19d40669e21f3a3f6fea1af,2022-10-12_02-39-49,1665535189,12.793384790420532,20.718603134155273,228864,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,20.718603134155273,0,2,12.895941019058228,2000,8032,2000,8032,0,600.0,600.0,600.0,4878.0,1,0,[600.0],[4878],53.256,2.224,14391.624,10.243,3124.227,0.04,2000,8032,2000,8032,0,5.012781954887219,4.936842105263157,[600.0],[4878],"[ 0.00758808  0.00906354  0.00766319  0.00767134 -0.98372877  0.01627125
  0.01382117  0.00768453  0.00765732  0.00769884  0.00906354  0.00766319
  0.01403477 -0.9893659   0.00766319 -0.9861788   0.01382117  0.01382117
  0.00773864  0.00773864  0.00768453  0.01382117 -0.98382133  0.00768899
  0.0106341   0.0106341   0.01627125  0.00767134  0.00758808  0.01403477
  0.00767134 -0.98382133]",,6.25000029685907e-05,0.010732723,0.0075880773,0.016271252,-0.14551729
0,600.0,400.0,500.0,3405.5,1,0,0,3000,16032,3000,16032,1000,8000,3000,8000,3000,False,2,3,f3bb2_00003,2aa52d13d19d40669e21f3a3f6fea1af,2022-10-12_02-40-03,1665535203,13.104734897613525,33.8233380317688,228864,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,33.8233380317688,0,3,12.895941019058228,3000,16032,3000,16032,0,600.0,400.0,500.0,3405.5,1,0,"[600.0, 400.0]","[4878, 1933]",54.098,2.339,13683.539,11.53,2775.37,0.028,3000,16032,3000,16032,0,17.961111111111116,5.744444444444444,"[600.0, 400.0]","[4878, 1933]","[ 0.0201223   0.01106883  0.01341357  0.01143596  0.02388946 -0.9761105
  0.02357789  0.02388946  0.01275294 -0.98179364  0.01119554  0.01106883
  0.01143596  0.01119554  0.01122418  0.0201223   0.01119554  0.01341357
  0.01275294  0.01132759  0.0201223   0.01820634  0.0201223   0.01122418
 -0.9761105   0.02075904  0.02075904  0.01143596  0.01106883  0.02357789
  0.02053367 -0.98258597]",,6.25000029685907e-05,0.0164466,0.0110688275,0.02388946,-0.108553395
0,1100.0,400.0,700.0,4075.6666666666665,1,0,0,4000,24032,4000,24032,1000,8000,4000,8000,4000,False,3,4,f3bb2_00003,2aa52d13d19d40669e21f3a3f6fea1af,2022-10-12_02-40-16,1665535216,13.027304649353027,46.850642681121826,228864,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,46.850642681121826,0,4,12.895941019058228,4000,24032,4000,24032,0,1100.0,400.0,700.0,4075.6666666666665,1,0,"[600.0, 400.0, 1100.0]","[4878, 1933, 5416]",52.693,2.338,13687.725,10.678,2996.861,0.029,4000,24032,4000,24032,0,18.005263157894735,5.878947368421054,"[600.0, 400.0, 1100.0]","[4878, 1933, 5416]","[ 0.02661065  0.02225799  0.02225799  0.02225799  0.02111962  0.02254727
  0.01214838  0.02225799  0.02225799  0.02254727  0.02254727 -0.9737107
  0.02628931 -0.9788804   0.02111962  0.01220865  0.01216354  0.01586137
  0.02661065  0.01220865  0.02111962  0.02628931  0.02254727  0.01220865
  0.01220865  0.01307266  0.01586137  0.01208358  0.02557382  0.01208358
  0.02628931  0.02661065]",,6.25000029685907e-05,0.019957175,0.012083583,0.026610646,-0.042542826
0,1100.0,400.0,800.0,4796.0,1,0,0,5000,32032,5000,32032,1000,8000,5000,8000,5000,False,4,5,f3bb2_00003,2aa52d13d19d40669e21f3a3f6fea1af,2022-10-12_02-40-29,1665535229,13.03095030784607,59.881592988967896,228864,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,59.881592988967896,0,5,12.895941019058228,5000,32032,5000,32032,0,1100.0,400.0,800.0,4796.0,1,0,"[600.0, 400.0, 1100.0, 1100.0]","[4878, 1933, 5416, 6957]",51.101,1.968,16262.114,9.841,3251.603,0.028,5000,32032,5000,32032,0,18.03684210526316,6.036842105263157,"[600.0, 400.0, 1100.0, 1100.0]","[4878, 1933, 5416, 6957]","[ 0.02330163  0.01536258  0.01253761  0.02943049  0.01721447  0.01253761
  0.02317869  0.01232813  0.02943049  0.0168439   0.02523139  0.01721447
  0.01721447  0.01721447 -0.9714744   0.01232813  0.01250192  0.02523139
  0.01721447  0.01721447  0.02517481  0.01536258  0.02330163  0.02330163
  0.01250192 -0.98463744 -0.9714744   0.01234323  0.02852559  0.02317869
  0.02943049  0.02523139]",,6.25000029685907e-05,0.020134266,0.012328131,0.029430492,-0.07361573
0,1100.0,400.0,800.0,4529.0,1,0,0,6000,40032,6000,40032,1000,8000,6000,8000,6000,False,5,6,f3bb2_00003,2aa52d13d19d40669e21f3a3f6fea1af,2022-10-12_02-40-42,1665535242,12.972988367080688,72.85458135604858,228864,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,72.85458135604858,0,6,12.895941019058228,6000,40032,6000,40032,0,1100.0,400.0,800.0,4529.0,1,0,"[600.0, 400.0, 1100.0, 1100.0, 800.0]","[4878, 1933, 5416, 6957, 3461]",52.187,2.524,12679.514,9.967,3210.682,0.033,6000,40032,6000,40032,0,17.988888888888887,6.166666666666668,"[600.0, 400.0, 1100.0, 1100.0, 800.0]","[4878, 1933, 5416, 6957, 3461]","[ 0.03360882  0.02458569  0.02066348  0.01992084  0.01290893  0.02586189
  0.03017023  0.01992084 -0.9663912   0.0126868   0.0126868   0.02659485
 -0.97413814  0.03360882  0.01426754  0.02586189  0.03017023  0.02686918
  0.0290013   0.01992084  0.02586189  0.01270167  0.01581611  0.01426754
  0.01856606 -0.9698298   0.01992084  0.01272893 -0.9663912   0.02659485
  0.02686918  0.02659485]",,6.25000029685907e-05,0.023202522,0.012686803,0.033608824,-0.101797484
0,1100.0,400.0,816.6666666666666,4122.0,1,0,0,7000,48032,7000,48032,1000,8000,7000,8000,7000,False,6,7,f3bb2_00003,2aa52d13d19d40669e21f3a3f6fea1af,2022-10-12_02-40-55,1665535255,12.95029354095459,85.80487489700317,228864,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,85.80487489700317,0,7,12.895941019058228,7000,48032,7000,48032,0,1100.0,400.0,816.6666666666666,4122.0,1,0,"[600.0, 400.0, 1100.0, 1100.0, 800.0, 900.0]","[4878, 1933, 5416, 6957, 3461, 2087]",50.613,2.263,14140.834,10.646,3005.868,0.03,7000,48032,7000,48032,0,18.02105263157895,6.321052631578948,"[600.0, 400.0, 1100.0, 1100.0, 800.0, 900.0]","[4878, 1933, 5416, 6957, 3461, 2087]","[ 0.02825802  0.02333567  0.01487175  0.01268567  0.02825802  0.0308704
  0.01240715  0.02697729  0.01494416  0.02333567  0.0308704   0.0308704
  0.02333567  0.0308704   0.02697729 -0.9766643   0.02688471  0.02927745
  0.02927745  0.03663434  0.01494416 -0.9633657   0.01238273  0.03663434
  0.01494416  0.02688471  0.0308704   0.01487175  0.01238273 -0.9691296
  0.01238273  0.01715882]",,6.25000029685907e-05,0.023913715,0.012382733,0.03663434,-0.06983629
0,1100.0,200.0,728.5714285714286,4095.0,1,0,0,8000,56032,8000,56032,1000,8000,8000,8000,8000,False,7,8,f3bb2_00003,2aa52d13d19d40669e21f3a3f6fea1af,2022-10-12_02-41-08,1665535268,13.121939659118652,98.92681455612183,228864,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,98.92681455612183,0,8,12.895941019058228,8000,56032,8000,56032,8000,1100.0,200.0,728.5714285714286,4095.0,1,0,"[600.0, 400.0, 1100.0, 1100.0, 800.0, 900.0, 200.0]","[4878, 1933, 5416, 6957, 3461, 2087, 3933]",64.533,2.723,11750.705,8.611,3716.295,0.037,8000,56032,8000,56032,8000,18.049999999999997,6.455555555555556,"[600.0, 400.0, 1100.0, 1100.0, 800.0, 900.0, 200.0]","[4878, 1933, 5416, 6957, 3461, 2087, 3933]","[ 0.02732199  0.02704405  0.01424111  0.02732199 -0.96980333  0.02503695
  0.03019669  0.01415687  0.02704405  0.01883987  0.02453073  0.01118271
  0.02636581  0.01118271  0.02732199  0.01228032 -0.9811601   0.02704405
  0.03019669  0.01228032  0.02636581  0.02453073  0.02704405  0.01424111
  0.01118271  0.01424111  0.01424111  0.01118271  0.02813388  0.02732199
  0.01415687  0.02636581]",,6.25000029685907e-05,0.021301042,0.011182709,0.030196693,-0.041198958
0,1100.0,200.0,712.5,4050.25,1,0,0,9000,64032,9000,64032,1000,8000,9000,8000,9000,False,8,9,f3bb2_00003,2aa52d13d19d40669e21f3a3f6fea1af,2022-10-12_02-41-21,1665535281,12.886033773422241,111.81284832954407,228864,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,111.81284832954407,0,9,12.895941019058228,9000,64032,9000,64032,8000,1100.0,200.0,712.5,4050.25,1,0,"[600.0, 400.0, 1100.0, 1100.0, 800.0, 900.0, 200.0, 600.0]","[4878, 1933, 5416, 6957, 3461, 2087, 3933, 3737]",49.028,2.191,14608.414,10.634,3009.177,0.028,9000,64032,9000,64032,8000,18.031578947368427,6.6000000000000005,"[600.0, 400.0, 1100.0, 1100.0, 800.0, 900.0, 200.0, 600.0]","[4878, 1933, 5416, 6957, 3461, 2087, 3933, 3737]","[-0.01226572 -0.0119796   0.01621043 -0.00920329 -0.00333377 -0.00333377
  0.00814023 -0.01057664  0.00126409  0.00470209  0.00612179 -0.0119796
 -0.00333377 -0.01226572  0.00126409 -0.9945211  -0.0027755  -0.01226572
  0.00235235 -0.00911703 -0.01057664  0.01621043 -0.00911703 -0.00424359
  0.01621043  0.01621043 -0.01226572 -0.00911703 -0.00822105 -0.00822105
  0.00353397 -0.0119796 ]",,6.25000029685907e-05,0.033984654,0.024171202,0.052647345,-0.03370227
0,1100.0,200.0,711.1111111111111,4173.444444444444,1,0,0,10000,72032,10000,72032,1000,8000,10000,8000,10000,False,9,10,f3bb2_00003,2aa52d13d19d40669e21f3a3f6fea1af,2022-10-12_02-41-34,1665535294,13.170657873153687,124.98350620269775,228864,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,124.98350620269775,0,10,12.895941019058228,10000,72032,10000,72032,8000,1100.0,200.0,711.1111111111111,4173.444444444444,1,0,"[600.0, 400.0, 1100.0, 1100.0, 800.0, 900.0, 200.0, 600.0, 700.0]","[4878, 1933, 5416, 6957, 3461, 2087, 3933, 3737, 5159]",51.6,2.606,12280.093,10.909,2933.49,0.028,10000,72032,10000,72032,8000,18.15,6.744444444444444,"[600.0, 400.0, 1100.0, 1100.0, 800.0, 900.0, 200.0, 600.0, 700.0]","[4878, 1933, 5416, 6957, 3461, 2087, 3933, 3737, 5159]","[ 2.9329918e-03  8.4130764e-03 -9.8231268e-01  8.4130764e-03
 -9.8515582e-01  2.9329918e-03  7.7186339e-03 -1.8131733e-04
 -9.8515582e-01  8.7909922e-03  8.4130764e-03  8.4130764e-03
  3.0360010e-02 -2.4366118e-03  8.4130764e-03  1.4613681e-03
 -1.8131733e-04  1.7359890e-03 -1.8131733e-04 -9.8515582e-01
  3.0360010e-02  1.7133519e-02  3.0360010e-02 -2.4366118e-03
  1.8116686e-02 -9.8135513e-01  1.7359890e-03 -1.8131733e-04
  1.7687317e-02  1.7359890e-03  8.7909922e-03 -1.8131733e-04]",,6.25000029685907e-05,0.045780785,0.034000307,0.06679693,-0.14690614
