num_recreated_workers,episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,info/last_target_update_ts,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/training_iteration_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,counters/last_target_update_ts,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,sampler_results/sampler_perf/mean_raw_obs_processing_ms,sampler_results/sampler_perf/mean_inference_ms,sampler_results/sampler_perf/mean_action_processing_ms,sampler_results/sampler_perf/mean_env_wait_ms,sampler_results/sampler_perf/mean_env_render_ms,info/learner/default_policy/td_error,info/learner/default_policy/train,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/mean_q,info/learner/default_policy/learner_stats/min_q,info/learner/default_policy/learner_stats/max_q,info/learner/default_policy/learner_stats/mean_td_error
0,200.0,200.0,200.0,2629.0,1,0,0,1000,32,1000,32,1000,32,1000,32,1000,False,1,1,f3bb2_00007,f4044369d2a345ce802f735b4642c138,2022-10-12_02-39-15,1665535155,7.884514331817627,7.884514331817627,229315,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,7.884514331817627,0,1,10.396397352218628,1000,32,1000,32,0,200.0,200.0,200.0,2629.0,1,0,[200.0],[2629],0.5150115216052259,4.283885260323783,0.061631798148750666,1.901230254730621,0.0,84.486,50.247,636.858,606.779,52.737,0.045,1000,32,1000,32,0,4.033333333333333,5.066666666666667,[200.0],[2629],0.5150115216052259,4.283885260323783,0.061631798148750666,1.901230254730621,0.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]",,6.25000029685907e-05,0.0,0.0,0.0,0.0
0,400.0,200.0,300.0,2902.0,1,0,0,2000,8032,2000,8032,1000,8000,2000,8000,2000,False,2,2,f3bb2_00007,f4044369d2a345ce802f735b4642c138,2022-10-12_02-39-49,1665535189,12.92988657951355,20.814400911331177,229315,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,20.814400911331177,0,2,10.396397352218628,2000,8032,2000,8032,0,400.0,200.0,300.0,2902.0,1,0,"[200.0, 400.0]","[2629, 3175]",0.5095351096878933,4.286447987022493,0.06587415367662744,1.9602717584956988,0.0,51.081,2.239,14291.709,10.644,3006.481,0.03,2000,8032,2000,8032,0,8.33125,5.404166666666668,"[200.0, 400.0]","[2629, 3175]",0.5095351096878933,4.286447987022493,0.06587415367662744,1.9602717584956988,0.0,"[ 0.00702466  0.00678469 -0.986862    0.00671561  0.00679809  0.0139554
  0.00680566  0.00678524 -0.986862    0.00684841 -0.98687834  0.0139554
  0.00680566  0.00671561  0.00678524 -0.9860446   0.00702466  0.0139554
  0.0139554   0.01316797  0.01316797  0.00679809  0.00680566  0.00860269
  0.00860269 -0.986862    0.01312169  0.00679952  0.00678469 -0.986862
  0.01313802  0.01316797]",,6.25000029685907e-05,0.010021916,0.0067156116,0.013955404,-0.1774781
0,700.0,100.0,350.0,2724.75,2,0,0,3000,16032,3000,16032,1000,8000,3000,8000,3000,False,4,3,f3bb2_00007,f4044369d2a345ce802f735b4642c138,2022-10-12_02-40-03,1665535203,13.12369704246521,33.93809795379639,229315,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,33.93809795379639,0,3,10.396397352218628,3000,16032,3000,16032,0,700.0,100.0,350.0,2724.75,2,0,"[200.0, 400.0, 700.0, 100.0]","[2629, 3175, 2645, 2450]",0.5051901638115304,4.31904457836614,0.06890316698376166,1.9985674544166612,0.0,51.786,2.85,11229.26,10.899,2936.031,0.027,3000,16032,3000,16032,0,17.94736842105263,5.747368421052631,"[200.0, 400.0, 700.0, 100.0]","[2629, 3175, 2645, 2450]",0.5051901638115304,4.31904457836614,0.06890316698376166,1.9985674544166612,0.0,"[ 0.00946582 -0.97822237  0.01874709  0.00948417  0.01457298  0.01457298
  0.00937738  0.02177764  0.01874709  0.00952336  0.01878221  0.00968978
  0.01381749  0.01210337  0.02177764  0.00968978  0.01381749  0.01457298
  0.00946582  0.00937738  0.00952336 -0.9812529   0.02177764  0.00948417
  0.01457298  0.01457298  0.00938326  0.00937738  0.01381749  0.00946582
  0.02177764  0.01878221]",,6.25000029685907e-05,0.014138189,0.009377384,0.021777635,-0.048361808
0,700.0,100.0,360.0,2998.8,1,0,0,4000,24032,4000,24032,1000,8000,4000,8000,4000,False,5,4,f3bb2_00007,f4044369d2a345ce802f735b4642c138,2022-10-12_02-40-16,1665535216,12.995968341827393,46.93406629562378,229315,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,46.93406629562378,0,4,10.396397352218628,4000,24032,4000,24032,0,700.0,100.0,360.0,2998.8,1,0,"[200.0, 400.0, 700.0, 100.0, 400.0]","[2629, 3175, 2645, 2450, 4095]",0.503574668832137,4.316828040095997,0.06966013177336972,2.009372750405367,0.0,52.271,2.871,11147.837,10.248,3122.446,0.029,4000,24032,4000,24032,0,18.000000000000004,5.878947368421054,"[200.0, 400.0, 700.0, 100.0, 400.0]","[2629, 3175, 2645, 2450, 4095]",0.503574668832137,4.316828040095997,0.06966013177336972,2.009372750405367,0.0,"[-0.9855721   0.00938961  0.00938961  0.00961108  0.00961108  0.01989873
  0.01999747  0.01684809  0.01442792  0.01896759  0.00938961 -0.9761564
  0.00931571  0.01896759  0.01684809  0.01989873  0.0095912  -0.98922443
  0.0095876   0.01999747 -0.9801013   0.01896759  0.01442792 -0.9855721
  0.00964333  0.00955247  0.01986136  0.00938961  0.01896759 -0.9831519
  0.00961108 -0.9800025 ]",,6.25000029685907e-05,0.014761795,0.009315709,0.023843609,-0.20398821
0,700.0,100.0,366.6666666666667,2936.0,1,0,0,5000,32032,5000,32032,1000,8000,5000,8000,5000,False,6,5,f3bb2_00007,f4044369d2a345ce802f735b4642c138,2022-10-12_02-40-29,1665535229,12.958114862442017,59.892181158065796,229315,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,59.892181158065796,0,5,10.396397352218628,5000,32032,5000,32032,0,700.0,100.0,366.6666666666667,2936.0,1,0,"[200.0, 400.0, 700.0, 100.0, 400.0, 400.0]","[2629, 3175, 2645, 2450, 4095, 2622]",0.5017038594066751,4.311180710218461,0.07021702164870393,2.0176636739160174,0.0,51.045,2.211,14475.44,10.427,3068.823,0.029,5000,32032,5000,32032,0,18.038888888888888,6.033333333333333,"[200.0, 400.0, 700.0, 100.0, 400.0, 400.0]","[2629, 3175, 2645, 2450, 4095, 2622]",0.5017038594066751,4.311180710218461,0.07021702164870393,2.0176636739160174,0.0,"[ 0.00943596  0.00954993  0.01165827  0.00945263  0.02362954  0.02463849
  0.00945263  0.01165827  0.00943596  0.02072866  0.00943596  0.00954993
  0.00954993  0.01787708  0.00954993 -0.97637045  0.0161399   0.00970732
  0.01165827  0.02096896  0.01165827  0.00951316  0.02096896  0.02072866
  0.00951316  0.02463849 -0.97637045  0.02096896  0.00943596  0.02072866
  0.00943596  0.00965535]",,6.25000029685907e-05,0.014643194,0.009435955,0.024638494,-0.047856804
0,800.0,100.0,428.57142857142856,3200.1428571428573,1,0,0,6000,40032,6000,40032,1000,8000,6000,8000,6000,False,7,6,f3bb2_00007,f4044369d2a345ce802f735b4642c138,2022-10-12_02-40-42,1665535242,12.978591203689575,72.87077236175537,229315,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,72.87077236175537,0,6,10.396397352218628,6000,40032,6000,40032,0,800.0,100.0,428.57142857142856,3200.1428571428573,1,0,"[200.0, 400.0, 700.0, 100.0, 400.0, 400.0, 800.0]","[2629, 3175, 2645, 2450, 4095, 2622, 4785]",0.5003075818338775,4.3018670534007635,0.0706720544062232,2.024587435248047,0.0,52.384,2.976,10751.266,10.536,3037.198,0.033,6000,40032,6000,40032,0,18.01052631578947,6.163157894736843,"[200.0, 400.0, 700.0, 100.0, 400.0, 400.0, 800.0]","[2629, 3175, 2645, 2450, 4095, 2622, 4785]",0.5003075818338775,4.3018670534007635,0.0706720544062232,2.024587435248047,0.0,"[ 0.0089484  -0.9823696   0.01647807 -0.9787983   0.02459682  0.01763041
  0.0089484   0.02651353  0.00876998  0.0087905   0.00876998  0.02203712
  0.01763041  0.0087905   0.01755167 -0.9734865   0.02203712  0.02651353
  0.02459682  0.02459682  0.01763041  0.0089484   0.02651353  0.01763041
  0.02203712  0.00978506  0.01763041  0.01647807  0.02459682 -0.97796285
  0.02459682 -0.9902044 ]",,6.25000029685907e-05,0.018007047,0.008769976,0.026513526,-0.13824296
0,800.0,100.0,450.0,3128.25,1,0,0,7000,48032,7000,48032,1000,8000,7000,8000,7000,False,8,7,f3bb2_00007,f4044369d2a345ce802f735b4642c138,2022-10-12_02-40-55,1665535255,13.13592004776001,86.00669240951538,229315,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,86.00669240951538,0,7,10.396397352218628,7000,48032,7000,48032,0,800.0,100.0,450.0,3128.25,1,0,"[200.0, 400.0, 700.0, 100.0, 400.0, 400.0, 800.0, 600.0]","[2629, 3175, 2645, 2450, 4095, 2622, 4785, 2625]",0.4994211017971985,4.287637908120253,0.07112821603418645,2.031932649965094,0.0,52.992,3.281,9752.069,8.854,3614.221,0.034,7000,48032,7000,48032,0,18.022222222222222,6.316666666666666,"[200.0, 400.0, 700.0, 100.0, 400.0, 400.0, 800.0, 600.0]","[2629, 3175, 2645, 2450, 4095, 2622, 4785, 2625]",0.4994211017971985,4.287637908120253,0.07112821603418645,2.031932649965094,0.0,"[ 0.01994532  0.00799289  0.01628015  0.00816367  0.00798577  0.02347832
  0.01994532  0.01108402  0.02347832  0.01994532  0.01848343  0.00798577
  0.02898665  0.02898665  0.01734248  0.01734248  0.00832076 -0.9782224
  0.02347832 -0.9782224   0.02347832  0.00832076  0.02347832 -0.97101337
  0.02177759  0.0218297   0.02347832  0.02898665  0.02347832  0.02347832
  0.02347832  0.01734248]",,6.25000029685907e-05,0.019402955,0.007985771,0.028986653,-0.07434704
0,800.0,100.0,433.3333333333333,3268.4444444444443,1,0,0,8000,56032,8000,56032,1000,8000,8000,8000,8000,False,9,8,f3bb2_00007,f4044369d2a345ce802f735b4642c138,2022-10-12_02-41-08,1665535268,13.145162582397461,99.15185499191284,229315,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,99.15185499191284,0,8,10.396397352218628,8000,56032,8000,56032,8000,800.0,100.0,433.3333333333333,3268.4444444444443,1,0,"[200.0, 400.0, 700.0, 100.0, 400.0, 400.0, 800.0, 600.0, 300.0]","[2629, 3175, 2645, 2450, 4095, 2622, 4785, 2625, 4390]",0.49879804913361525,4.271754665323949,0.07151143188717718,2.038330645677698,0.0,67.667,2.658,12039.624,10.26,3118.978,0.03,8000,56032,8000,56032,8000,18.02631578947368,6.4526315789473685,"[200.0, 400.0, 700.0, 100.0, 400.0, 400.0, 800.0, 600.0, 300.0]","[2629, 3175, 2645, 2450, 4095, 2622, 4785, 2625, 4390]",0.49879804913361525,4.271754665323949,0.07151143188717718,2.038330645677698,0.0,"[ 0.03070172  0.02242031  0.01139388  0.01068813  0.00692029  0.01139388
  0.00711739  0.01068813  0.03070172  0.00707586 -0.9692983   0.02242031
  0.00692029  0.00692029 -0.9840404   0.03070172  0.00738149  0.01890766
  0.00711739  0.02180447  0.01068813  0.0185419   0.01595962  0.01068813
  0.02242031  0.00699783  0.02153278  0.00738149  0.00850167  0.01890766
  0.00850167  0.01596875]",,6.25000029685907e-05,0.015125819,0.0069202906,0.03070172,-0.04737418
0,800.0,100.0,450.0,3428.1,1,0,0,9000,64032,9000,64032,1000,8000,9000,8000,9000,False,10,9,f3bb2_00007,f4044369d2a345ce802f735b4642c138,2022-10-12_02-41-21,1665535281,13.070534944534302,112.22238993644714,229315,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,112.22238993644714,0,9,10.396397352218628,9000,64032,9000,64032,8000,800.0,100.0,450.0,3428.1,1,0,"[200.0, 400.0, 700.0, 100.0, 400.0, 400.0, 800.0, 600.0, 300.0, 600.0]","[2629, 3175, 2645, 2450, 4095, 2622, 4785, 2625, 4390, 4865]",0.4983739867272711,4.255100145780348,0.07186171700401259,2.0445757455368017,0.0,52.743,2.372,13490.304,11.14,2872.577,0.034,9000,64032,9000,64032,8000,18.04736842105263,6.610526315789474,"[200.0, 400.0, 700.0, 100.0, 400.0, 400.0, 800.0, 600.0, 300.0, 600.0]","[2629, 3175, 2645, 2450, 4095, 2622, 4785, 2625, 4390, 4865]",0.4983739867272711,4.255100145780348,0.07186171700401259,2.0445757455368017,0.0,"[ 1.9238479e-03 -6.8420023e-03 -9.2751831e-03 -9.2751831e-03
 -8.6497832e-03  1.9238479e-03 -2.4987888e-03 -8.6497832e-03
  2.1744510e-02  7.3603690e-03  1.4409982e-03 -9.8094904e-01
 -9.3712304e-03  3.8379431e-04 -9.3850605e-03  7.7629387e-03
  3.8379431e-04 -4.4615753e-03 -4.4615753e-03  7.3603690e-03
 -1.0068420e+00 -6.8420023e-03  7.7629387e-03  1.9050971e-02
 -8.6497832e-03 -6.8420023e-03 -9.3372148e-03 -9.3372148e-03
  8.3484463e-03 -2.4987888e-03 -9.3372148e-03  3.7797913e-03]",,6.25000029685907e-05,0.02868576,0.021009233,0.049445264,-0.06325871
0,800.0,100.0,481.8181818181818,3462.909090909091,1,0,0,10000,72032,10000,72032,1000,8000,10000,8000,10000,False,11,10,f3bb2_00007,f4044369d2a345ce802f735b4642c138,2022-10-12_02-41-34,1665535294,13.253853559494019,125.47624349594116,229315,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,125.47624349594116,0,10,10.396397352218628,10000,72032,10000,72032,8000,800.0,100.0,481.8181818181818,3462.909090909091,1,0,"[200.0, 400.0, 700.0, 100.0, 400.0, 400.0, 800.0, 600.0, 300.0, 600.0, 800.0]","[2629, 3175, 2645, 2450, 4095, 2622, 4785, 2625, 4390, 4865, 3811]",0.49811496132363436,4.238737895081123,0.07218317869880833,2.0505588123272993,0.0,51.696,2.777,11524.99,9.58,3340.445,0.035,10000,72032,10000,72032,8000,18.11578947368421,6.752631578947369,"[200.0, 400.0, 700.0, 100.0, 400.0, 400.0, 800.0, 600.0, 300.0, 600.0, 800.0]","[2629, 3175, 2645, 2450, 4095, 2622, 4785, 2625, 4390, 4865, 3811]",0.49811496132363436,4.238737895081123,0.07218317869880833,2.0505588123272993,0.0,"[ 4.6423823e-04 -9.8763180e-01  1.0753479e-02 -3.8965419e-04
  1.9196790e-02  4.6423823e-04  1.2368232e-02  3.0004639e-02
  1.0505430e-03  4.6423823e-04  1.0753479e-02  1.3645157e-02
  1.9196790e-02  1.9196790e-02 -3.8965419e-04  1.0753479e-02
  5.6098998e-03  1.3645157e-02  9.9064857e-03  1.9196790e-02
  1.3645157e-02 -3.0821189e-04  1.3286918e-03  1.4217205e-02
  1.8824570e-02  1.3645157e-02  1.8824570e-02  1.2368232e-02
  1.0505430e-03  3.1452112e-02  3.1452112e-02  1.9196790e-02]",,6.25000029685907e-05,0.041443106,0.03000464,0.061846405,-0.019251365
